t	level_1	0.025	0.25	0.5	0.75	0.975
50.0	0	0.01027887463529589	0.022156775930464737	0.032203608071905164	0.04526409304515993	0.07830406285035674
51.0	0	0.010324438192739474	0.022842949759643214	0.032964366468497465	0.04615110562812378	0.08031104609227918
52.0	0	0.010345828912725659	0.023392031536120156	0.033725576460642816	0.04702462420584519	0.0818636488184469
53.0	0	0.010399227301590945	0.02391983294635507	0.034536235384401676	0.04790153989453331	0.0834409856007979
54.0	0	0.010494743944042645	0.02447066280306552	0.0352849443852115	0.04907401092936992	0.08513829558761642
55.0	0	0.01059423704822128	0.024713816674020714	0.036064238481100595	0.05019899086258305	0.0874921109480807
56.0	0	0.010736975839624288	0.025278651412345334	0.0368551200623201	0.05127368628179322	0.08865705442418256
57.0	0	0.010930202404265468	0.026093607162190616	0.037546330730139514	0.05260234986809175	0.08988187439566803
58.0	0	0.011126554905402077	0.026774721108306594	0.03837583533606438	0.05382846089721008	0.09151958628785292
59.0	0	0.011385269683951581	0.027068932310514184	0.0391466673889984	0.055171853730034005	0.09325031906135824
60.0	0	0.011808630852582545	0.027776783672256805	0.040109872266578736	0.05614596720247158	0.09500904603187764
61.0	0	0.012029183994682651	0.02842495551918677	0.04100042607904348	0.05717564307786811	0.09693310981239471
62.0	0	0.012207675984206058	0.029105487153534032	0.04203362438195973	0.05848545895859079	0.09878417871781715
63.0	0	0.012737093944364111	0.029698292934269368	0.042777312196027005	0.06027794724782015	0.10032488034794715
64.0	0	0.012922883070526584	0.03048219788961713	0.04358801505512307	0.061692434872773094	0.10175134418685557
65.0	0	0.01318524579871635	0.031107036267525312	0.04447219106667384	0.06296807256199508	0.10318873620601901
66.0	0	0.01333834941762834	0.03178965819656244	0.04542069451595644	0.06398089259471539	0.10477210940343766
67.0	0	0.013416953146681456	0.032406366313269104	0.04647497787435163	0.0653547970027936	0.10648749653417502
68.0	0	0.013467489203049863	0.03306343817336888	0.04784362427606332	0.06685311293215729	0.10848650847925553
69.0	0	0.013587927259581929	0.03401141442772258	0.0491179820896741	0.06847228632481005	0.11049288757265975
70.0	0	0.013928607812523102	0.03492225675765017	0.05003067099560145	0.06977488905289048	0.11312845014091329
71.0	0	0.01424087585744373	0.03551107095892062	0.05104991515934331	0.07122618236559088	0.11475169935781218
72.0	0	0.014721686987163056	0.03634430047288809	0.052220915148045145	0.07271662087344213	0.11678561132923956
73.0	0	0.015162872414350305	0.037238218853373244	0.05336810789595972	0.07417722488200904	0.11907963202867088
74.0	0	0.01545062567443831	0.038227169796049475	0.05454596082780428	0.07570048140844665	0.1212842790834759
75.0	0	0.01581599748432024	0.039071677480597186	0.055742436042711986	0.07697533776079252	0.12375428991589411
76.0	0	0.01617342262189419	0.03990913762304123	0.05668511400725605	0.07825675100973901	0.12606842575657623
77.0	0	0.016404021801096895	0.04074821745929557	0.057854967757224686	0.07946897758362961	0.12829728437163668
78.0	0	0.016458799380148662	0.041567249861253486	0.05890808201069353	0.08084449766874842	0.13102872426417436
79.0	0	0.01674351218513186	0.04254341148979821	0.0601528521092629	0.08211332909751876	0.1335494580900308
80.0	0	0.017247420563591905	0.043534005161555284	0.06120555772560661	0.08343968982638332	0.13568437102010505
81.0	0	0.017783262537380985	0.04426634184479991	0.062180767340722386	0.08512118988305811	0.1377637045863751
82.0	0	0.018411220429677987	0.04512322768172018	0.06338153707336883	0.08674383558363466	0.14082837127505354
83.0	0	0.01877894665598502	0.04593235289198525	0.06456645952786717	0.08850792675013283	0.14391356634057226
84.0	0	0.019140372875647363	0.04659179133226054	0.06557237832619583	0.09025401720270951	0.14680203131552924
85.0	0	0.019737567333609537	0.04753109488340177	0.06697306534243863	0.09182137809789698	0.14955396416507624
86.0	0	0.02055997643317808	0.04837044694201829	0.06857089395054765	0.09346809622743078	0.15224007411701543
87.0	0	0.021088957605888345	0.049500003144575755	0.07009921806555235	0.09539231658722722	0.1552012202310909
88.0	0	0.02160865721621392	0.050625008016743224	0.07178476881804584	0.09703739748091181	0.15823099993019074
89.0	0	0.02215722244287736	0.05162836708448506	0.073053037492924	0.09889097762904109	0.16056158896553666
90.0	0	0.02285936184526174	0.052547845352080326	0.07484292035284759	0.10074441894564941	0.16319858937684426
91.0	0	0.023581404979007386	0.05372352868518277	0.07600824937980911	0.10259772709909461	0.16540378664581984
92.0	0	0.024396075534586475	0.05457500642682521	0.07754674168630443	0.10445104425676628	0.16847751509842318
93.0	0	0.02504696071632833	0.055570863831924486	0.07937929552261705	0.10611886817634605	0.17176460022924908
94.0	0	0.025473715184579315	0.056553561608100586	0.08072994381032854	0.1079848488484419	0.17491719752404467
95.0	0	0.025608710584763602	0.057521919199633065	0.08207221936723375	0.11026311235640185	0.17789083091974572
