prob_fn	mu_0	omega_mu	sigma_0	omega_sigma	prob_tx	prob_bd_given_prev_tx	mu_tx	sigma_tx	est_param1	est_param2	est_param3	use_param1	use_param2	use_param3	beta_extra	beta_tx	trans_form
0.061783073	4.0981812	0.70073899	0.49701698	0.44612829	0.12099683	0.93883268	2.3344527	0.72442962	6.2566348	-18.610782	1.2372908	1.0	8.2687503e-09	1.0	0.032536144	0.012717829	ve
0.060743667	4.111207	0.69416446	0.48215796	0.45407625	0.11496887	0.92243078	2.5919338	0.35253288	-3.0638647	-18.839066	1.2910307	1.0	6.581085e-09	1.0	0.034291003	0.0072336167	ve
0.063991114	4.0911767	0.67688786	0.4886776	0.44221112	0.12247964	0.88041351	2.6686619	0.27703216	3.6996366	-18.361546	-1.7527972	1.0	1.0609186e-08	1.0	0.026015892	0.0068781204	ve
0.06776826	4.0852903	0.68742911	0.49054754	0.46798323	0.11889585	0.93935106	2.8145666	0.60457207	-1.5141498	-18.683868	-1.047728	1.0	7.6859828e-09	1.0	0.033338239	0.00601949	ve
0.057578087	4.0875251	0.69448637	0.49447579	0.47909827	0.11678627	0.93202851	2.6726102	0.11283776	7.8421208	-18.703776	0.55870064	1.0	7.5344809e-09	1.0	0.034966378	0.0032854044	ve
0.057344795	4.0859331	0.69633209	0.49350372	0.47477115	0.11632338	0.9329459	2.60666	0.13660098	7.1882608	-18.721828	0.62293691	1.0	7.3996904e-09	1.0	0.033823251	0.0040036354	ve
0.064337259	4.0994659	0.69065746	0.49649181	0.43995401	0.11984093	0.95120873	2.6387656	0.51648575	-4.7806622	-18.434502	-1.6510807	1.0	9.862736e-09	1.0	0.031332255	0.010138646	ve
0.06424775	4.1014514	0.68193011	0.4854184	0.43402438	0.11626074	0.93978701	2.6785955	0.35306253	6.9809637	-18.787173	1.6265949	1.0	6.9316128e-09	1.0	0.031307291	0.013194358	ve
0.063093896	4.100338	0.67854061	0.49467125	0.45623822	0.12018046	0.94931982	2.5603302	0.14158651	-5.9012744	-18.50789	-0.81611596	1.0	9.1648552e-09	1.0	0.036022693	0.0013828239	ve
0.059473399	4.1037778	0.68677026	0.50265087	0.49072162	0.12228633	0.92226913	2.5459585	0.16713032	5.7971079	-18.698837	0.93722108	1.0	7.5717835e-09	1.0	0.027559644	0.0023347598	ve
0.070069588	4.118125	0.67224722	0.49471072	0.47134466	0.11478087	0.94749148	2.3673696	0.084092114	3.3179936	-18.73293	0.044564999	1.0	7.3179873e-09	1.0	0.031253285	0.0021176596	ve
0.057911714	4.1079081	0.67714078	0.49774013	0.48538201	0.11703069	0.9623955	2.4685265	0.097978554	-6.1613776	-18.488862	0.042882548	1.0	9.3409101e-09	1.0	0.034448928	0.011481375	ve
0.064083168	4.1033267	0.68191306	0.49095604	0.49875954	0.12185012	0.92463173	2.6972447	0.64030019	-0.54043884	-18.722899	-0.80125314	1.0	7.3917679e-09	1.0	0.033193349	0.0045289601	ve
0.063406028	4.1031489	0.6517404	0.48758928	0.44736661	0.11500258	0.92912373	2.6493729	0.42664083	2.1597624	-18.521443	0.92813529	1.0	9.041479e-09	1.0	0.031076726	0.0093516244	ve
0.056857271	4.0991691	0.69427591	0.5125307	0.44367006	0.12027566	0.91548477	2.6853028	0.38017998	-3.4695924	-18.699938	-1.5690517	1.0	7.5634506e-09	1.0	0.033662251	0.00048455798	ve
0.065181692	4.0940965	0.67609853	0.48867903	0.44956349	0.1172981	0.930407	2.7303679	0.4581766	2.7638307	-18.652269	1.6376269	1.0	7.9327256e-09	1.0	0.025518464	0.0022850765	ve
0.061500476	4.0889376	0.68483011	0.50368853	0.44641364	0.12139727	0.91581341	2.6276902	0.2970013	-8.972824	-18.479968	-1.4771195	1.0	9.4243571e-09	1.0	0.033107008	0.01280461	ve
0.060730396	4.0857401	0.69216981	0.49337769	0.40896931	0.11729066	0.94078718	2.6031321	0.27940759	2.5900462	-18.615626	1.5058723	1.0	8.2287993e-09	1.0	0.024681518	0.0063518556	ve
0.061350427	4.0956456	0.69886878	0.48631648	0.42460089	0.12089168	0.90802137	2.6310445	0.26157967	-4.1989816	-18.63	-1.3498299	1.0	8.1113611e-09	1.0	0.042527402	0.0052127833	ve
0.062716052	4.1085484	0.69180836	0.49422055	0.42858436	0.10688262	0.89970964	2.6395817	0.34796068	0.95044813	-18.572109	-0.89351099	1.0	8.5947925e-09	1.0	0.033093573	0.020668304	ve
0.053878025	4.0891987	0.71629501	0.49816808	0.38491004	0.12362235	0.9015195	2.6549375	0.19413161	-0.33783859	-18.57889	1.4928917	1.0	8.5367076e-09	1.0	0.037278828	0.0056007216	ve
0.066458538	4.1156613	0.70002454	0.48294119	0.41303471	0.11993455	0.95245574	2.5422123	0.19541257	0.3662738	-18.643925	-1.2781683	1.0	7.9991949e-09	1.0	0.029417915	0.0043130342	ve
0.060686911	4.0982427	0.71605539	0.51879862	0.35227892	0.12486424	0.94838854	2.6442916	0.21059232	-3.8812719	-18.656891	0.54676392	1.0	7.8961469e-09	1.0	0.026401611	0.00063057941	ve
0.073351042	4.0873892	0.70086486	0.48459082	0.37312072	0.12396189	0.97056362	2.2910922	0.31267539	5.9314181	-18.821121	-0.52926535	1.0	6.7002516e-09	1.0	0.03254249	0.0071576577	ve
0.059186938	4.1026936	0.71291826	0.48230501	0.39747419	0.1128788	0.89644841	2.5134538	0.45566121	1.8299157	-18.387522	0.80196433	1.0	1.0337148e-08	1.0	0.033033046	0.0020298159	ve
0.065301347	4.0958643	0.71696044	0.49195894	0.38147474	0.11622011	0.96363559	2.6334754	0.18869345	-5.5487864	-18.770807	-1.1988652	1.0	7.0459937e-09	1.0	0.030483914	0.0019788528	ve
0.062842158	4.1022014	0.70925954	0.49055305	0.38822262	0.12020945	0.94079715	2.4266146	0.3110868	-8.4547582	-18.79116	-0.92314255	1.0	6.9040341e-09	1.0	0.037227157	0.010869502	ve
0.05871345	4.0909547	0.7118596	0.4868493	0.40162696	0.11785805	0.89093981	2.6602589	0.18820925	-1.8745772	-18.570736	-1.9095645	1.0	8.606608e-09	1.0	0.031940418	0.0032788381	ve
0.065589214	4.094487	0.72014151	0.48703502	0.39655787	0.11976818	0.94015505	2.7371054	0.34318327	-5.8032059	-18.491574	-0.81427582	1.0	9.3156145e-09	1.0	0.032327601	0.0080810088	ve
0.063011773	4.0901398	0.71667376	0.48484486	0.39392571	0.12105119	0.93683714	2.6639579	0.33764845	-1.8489291	-18.473871	-0.92692003	1.0	9.481996e-09	1.0	0.032515923	0.011788452	ve
0.059850492	4.0967655	0.71801133	0.49326893	0.35030366	0.1189864	0.93185256	2.48945	0.26282613	5.3988444	-18.570555	1.7044496	1.0	8.6081631e-09	1.0	0.025291957	0.0019888068	ve
0.060496015	4.1072883	0.7179053	0.47861897	0.38423666	0.124928	0.89765203	2.6251588	0.18003178	-2.0727357	-18.574896	0.93583592	1.0	8.5708725e-09	1.0	0.030331602	0.016306937	ve
0.061253296	4.0990376	0.70783441	0.48243885	0.38639649	0.11998215	0.94733562	2.6243042	0.26988313	6.110281	-18.616313	0.3661936	1.0	8.2231481e-09	1.0	0.033719285	0.0098793313	ve
0.063551556	4.0875715	0.71776397	0.47893817	0.40381154	0.11599337	0.92042845	2.7229389	0.47648768	-7.4647572	-18.565342	-0.22285559	1.0	8.6531539e-09	1.0	0.032841517	0.0079742744	ve
0.061012327	4.1217361	0.70976853	0.48731973	0.38928379	0.12410644	0.91023246	2.8016446	0.55282217	2.667339	-18.705297	0.35901768	1.0	7.5230312e-09	1.0	0.034592345	0.0051304521	ve
